"movie_id","movie_title","original_language","overview","production_countries","year_released"
"football-freaks","Football Freaks","en","Football crazy, football mad. Don’t watch this off-beat jukebox cartoon expecting any conventional soccer action. Equal parts Disney, Dali and Duchamp, this abstract mix of black and white photos and alternative comix style animation is accompanied by a medley of doo-wop classics and documentary soundbites.  The film is certainly an extreme departure for those familiar with the more conventional output of the Halas & Batchelor studio, best known for their feature-length version of George Orwell’s Animal Farm (1954). Paul Vester was one of a number of sixties art school graduates that brought a mix of pop art and illustration influences to the company whilst it was undergoing a brief change in its ownership. As a warning, in keeping with its progressive, adult style there is some brief nudity at the end of the film.","[""United Kingdom""]","1971"
"aftermath-1960","Aftermath","en","Aftermath was the pilot for an unsold TV series called The Code of Jonathan West; it aired as part of The General Electric Theater. The film takes place just after the Civil War, in a small southern town – war-ravaged, impoverished, and seething with hatred and resentment.","[]","1960"
"where-chimneys-are-seen","Where Chimneys Are Seen","ja","Gosho’s most celebrated film both in Japan and the West, Where Chimneys Are Seen is perhaps the most compelling example of his concern for, and insights into, the everyday lives of lower-middle-class people. Based on Rinzo Shiina’s novel of the absurd, the film depicts the lives of two couples against the backdrop of Tokyo’s growing industrialization during the 1950s.","[""Japan""]","1953"
"the-musicians-daughter","The Musician's Daughter","en","Carl Wagner's good wife was dying. His heart bled at the thought of losing her, his life-long loyal helpmate. And his opera was almost completed, after spending months of weary hours to make it perfect. A pretty daughter tried in vain to brighten the overhanging gloom. Finally the composer, after a superhuman effort, and with a soul filled with sorrow, finished the last act of his score and hurried away to the impresario for a hearing. Here he was assured of an immediate reading and the return to his humble tenement was made with a much lighter heart. The doctor paid another visit to his patient and left a prescription to be filled. Carl reached home and realized how much depended upon the medicine ordered to possibly save a life most dear. Taking his cherished violin, the only article of value remaining, he rushed off to the pawnbroker and negotiated a loan.","[""United States of America""]","1911"
"50-years-of-fabulous","50 Years of Fabulous","en","50 Years of Fabulous recounts the rich history of the Imperial Council, the oldest LGBT charity organization in the world. Founded in San Francisco by renown activist, drag queen and performer Jose Sarria, the Council has helped shaped LGBT life and social history in San Francisco and beyond throughout the last five decades. Sarria was also the first openly gay man to run for political office in the United States in 1961.  From its genesis as a critical public space for the community and capacity building of LGBT San Franciscans, to its vital role in the advocacy for LGBT human rights, 50 YEARS OF FABULOUS documents the full scope of the organization’s historical evolution up to its contemporary struggle in finding relevance -- both in the wake of social progress it has helped foster, and in light of a newly empowered political coalition committed to rolling back a half-century of civil rights achievements.","[]","2018"
"where-love-has-gone","Where Love Has Gone","en","A divorced couple's teen-age daughter stands trial for stabbing her mother's latest lover.","[""United States of America""]","1964"
"severance-1988","Severance","en","Ray Ponti is a down and out father, a man trapped by his past and frightened of his future. Cly is a streetwise runaway, waiting tables by day and stripping by night.  Both are fighting for existence in the slime-bowl of New York's gutters, where drugs and prostitution are the only currency. Ray is in over the top with the Mafia and Cly is emotionally destroyed by the absence of her father.  Severence is a gripping story set against the seedy backdrop of New York City, where broken dreams and empty promises litter the streets.","[]","1988"
"terra-di-transito","Terra di transito","it",NULL,"[""Italy""]","2014"
"mc5-kick-out-the-jams","MC5: Kick Out the Jams","en","Kick Out the Jams features many never before seen films of the MC5 as created by Leni Sinclair & conceptual artist Cary Loren during the peak of their career.","[]","1999"
"sharing-the-secret","Sharing the Secret","en","A teenage girl who feels she must always seem happy for her parents and friends secretly binges and purges.","[""United States of America""]","2000"
"streets-of-death","Streets of Death","en","Hookers are being killed all over the place, their bodies dumped in various parts of the city. Now, it's up to Officer Kelly Anderson with the help of Detective Grant Jordan to go undercover as a hooker to stop these horrific killings.","[""United States of America""]","1987"
"blood-scarab","Blood Scarab","en","To exist in daylight, Countess Elizabeth Bathory -- the infamous Blood Countess and widow of legendary vampire Count Dracula -- makes a blood pact with an Egyptian goddess involving three lovely victims and a living Mummy. A centuries-old craving collides with an ancient curse in this horrific climax to Frontline Entertainment's Countess Dracula and Mummy's Kiss movie series!","[""United States of America""]","2008"
"the-christine-jorgensen-story","The Christine Jorgensen Story","en","George Jorgensen goes to 1950s Denmark and makes headlines for having the first sex-change operation.","[""United States of America""]","1970"
"hochwurden-wird-papa","Hochwürden wird Papa","de",NULL,"[""Germany"",""Austria""]","2003"
"desperately-seeking-santa","Desperately Seeking Santa","en","Jennifer, a young, ambitious executive running promotions at a failing Boston mall comes up with a genius promotional gimmick to save her workplace and position herself for advancement: hold a ""Hunky Santa"" contest to replace the old Mall Santa. David, a local man trying to save his family's pizzeria, ultimately wins the contest and sparks fly between him and Jennifer. However, complications ensue when it comes to light that the company Jennifer works for is the same one trying to run David's family out of business.","[""Canada""]","2011"
"between-midnight-and-dawn","Between Midnight and Dawn","en","Rocky and Dan, war buddies, are prowl car cops on night duty. Dan is a cynic who views all lawbreakers as scum; Rocky feels more lenient. Both are attracted to the radio voice of communicator Kate Mallory; but in person, Kate proves reluctant to get involved with men who just might stop a bullet. By lucky chance, Rocky and Dan cause big trouble for murderous racketeer Ritchie Garris; but when he swears vengeance, Kate's fears may prove justified.","[""United States of America""]","1950"
"a-deadly-adoption","A Deadly Adoption","en","Things go awry when an author and his wife welcome a pregnant woman into their home, with plans to adopt her baby.","[""United States of America""]","2015"
"omega-cop","Omega Cop","en","The year is 1999. John Travis is the toughest cop alive... In fact the only cop alive. He and his elite force stand between murderous mutants and the remains of humanity...","[]","1990"
"australien-skies","Australien Skies","en","Australien Skies is a documentary film that explores the sightings of unidentified flying objects and the people who witness them within Australia.","[]","2015"
"the-enemy-lines","The Enemy Lines","fr","Six men. The forest. The menace is there somewhere. Armed, ready, looking for action, they wander, day and night, striving for a confrontation.","[""Canada""]","2010"
"the-united-states-of-football","The United States of Football","en","A father, who has trained his son all his life to play football, pauses when his son turns twelve and is about to play tackle football. Journalist Sean Pamphilon went out on a mission to decide when it was appropriate to let his son play the game he's loved all his life.","[""United States of America""]","2013"
"no-minor-vices","No Minor Vices","en","Perry Ashwell is a self-satisfied child psychologist who takes his colleagues and wife somewhat for granted. So confident is he of his position that he introduces rich attractive painter Octavio Quaglini to his office and home. Quaglini is no respecter of convention, and April Ashwell is extremely attractive.","[""United States of America""]","1948"
"hotel-del-monte","Hotel Del Monte","en","Shows a party of tourists at this famous resort; located in Monterey, Cal., on the Southern Pacific Railroad. The magnificence of its surroundings is clearly shown.  This early sponsored film by Southern Pacific Railroad offers views of tourists at the opulent resort in Monterey, California.","[""United States of America""]","1897"
"adventure-island","Adventure Island","en","Travelers find themselves marooned on an island with a maniacal self-made ruler.","[""United States of America""]","1947"
"swedish-wildcats","Swedish Wildcats","en","The sadistic Madam Margareta is a talking side of beef that serves as the hostess and ring leader for a live sex tease show and whorehouse. Madam's shows always feature her bodacious nieces Susanna and Karen, who perform in everything from striptease to S&M acts. Karen meets and eventually runs away with a rich guy. Susanna falls in love with a deceptive airport cargo handler. After several more kinky shows and various soft core sex scenes, Karen is gone and Susanna and her man find out the truth behind each others lies.","[""United Kingdom""]","1972"
"white-people-1970","White People","sr","White people live in white houses, wear white clothes, eat yogurt and drink milk. They raise white sheep and white mice; when snow falls, they arrange a festival.","[""Yugoslavia""]","1970"
"cinderella-2000-1","Cinderella","en","Cinderella (named Zezolla) and her family live mid 20th century, where fashion is practically everything. As her father is won over by a selfish woman named Claudette, Cinderella must keep her new step-mother from murdering the only family she has left. Add in an anti-social mermaid literally living in a cave, a bored prince with an ear for rock n' roll, and the glamour of the 1950's and one'll find that this story can't grow old","[]","2000"
"alien-seed","Alien Seed","en","An alien impregnates an Earth woman so she can deliver an alien ""messiah"" that will rule the world. A newspaper reporter finds out what's going on and sets out to stop it.","[""United States of America""]","1989"
"for-the-love-of-it","For the Love of It","en","An entrepreneur discovers a Russian plan for taking over the Middle East. He wants to use it to create a new video game but the KGB, the CIA and the FBI have different ideas.","[""United States of America""]","1980"
"tusalava","Tusalava","en","With the screen split asymmetrically, one part in positive, the other negative, the film documents the evolution of simple celled organic forms into chains of cells then more complex images from tribal cultures and contemporary modernist concepts. The images react, interpenetrate, perhaps attack, absorb and separate, until a final symbiosis (or redemption?) is achieved.","[""United Kingdom""]","1929"
"preston-north-end-v-aston-villa","Preston North End v Aston Villa","en","Early football footage from Mitchell & Kenyon.","[""United Kingdom""]","1905"
"wretch","Wretch","en","Under the tutelage of an eccentric hippie restaurateur and her messianic self-help guru, a young man sets out to master the occult magic of Enceladism in an effort to destroy the cancer that's killing his boyfriend.","[]","2019"
"pink-punch","Pink Punch","es","Jimmy Morales is a young fighter with a short career but with a promising future in the world of boxing. One night, after watching a movie, he witnesses a cold-blooded murder committed by Germán Corona, a known gangster of the neighborhood. Their eyes meet, Jimmy fears the worst, but the murderer runs away inexplicably. From that moment, a peculiar relationship between the boxer and gangster develop.","[""Mexico"",""Spain""]","2004"
"europe-raiders","Europe Raiders","zh","Mr. Lin and Ms. Lin are the number one and number two in the field. They are neither friends nor enemies, but they ultimately join hands along with trusty assistant Le Qi as they track down an infamous thief who has stolen the 'Heavenly Emperor's Hand'. Unbeknownst to them, they become the common target in a manhunt by the European triads, the CIA and many other agencies.","[""China"",""Hong Kong""]","2018"
"gundala-the-son-of-lightning","Gundala the Son of Lightning","id","The story of a man who attempts to make his body anti-lightning and succeeded. This success interest the drug syndicate who later kidnaps him to make heroin concoction. The mastermind turns out to be a friend of the man. The man determines to defeat them all.","[""Indonesia""]","1981"
"coronado","Coronado","en","An american woman, in search of her fiance', becomes involved in a revolution of a central-american country.","[""Germany"",""United States of America""]","2003"
"nieuw","Nieuw","en","For every child it is scary to be the new kid at school, but if you come from another country and do not speak any Dutch at all, it must be terrifying.","[""Netherlands""]","2014"
"all-the-way-home-1981","All the Way Home","en","A wife and mother in 1915 Tennessee copes with the loss of her husband and the necessity of raising their children alone.","[]","1981"
